name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Site-19,reg:10,Claude Code set piece,"register lattice: one candidate per 118x118 chunks (1,888 blocks), footprint 53x45; built by site19 if it fits its ground and no higher-ranked set piece (rank < 10) claims it (+2 cordon)",0.007074,0.2763,"about 1 per 1,900 x 1,900 blocks",buried: ceiling 10 blocks under the lowest ground sample and 20 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"44,725 lattice cells in a 400k x 400k-block square outside r=3,072; 44,207 admitted",0.05%,
The Strip,reg:11,Claude Code set piece,"register lattice: one candidate per 116x116 chunks (1,856 blocks), footprint 45x45; built by strip if it fits its ground and no higher-ranked set piece (rank < 11) claims it (+2 cordon)",0.002757,0.1077,"about 1 per 3,000 x 3,000 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","46,216 lattice cells in a 400k x 400k-block square outside r=3,072; 17,225 admitted",0.60%,
The Burnt Chancel,reg:12,Claude Code set piece,"register lattice: one candidate per 114x114 chunks (1,824 blocks), footprint 43x35; built by chancel if it fits its ground and no higher-ranked set piece (rank < 12) claims it (+2 cordon)",0.003613,0.1412,"about 1 per 2,700 x 2,700 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","47,952 lattice cells in a 400k x 400k-block square outside r=3,072; 22,580 admitted",0.48%,
Vault 44,reg:13,Claude Code set piece,"register lattice: one candidate per 112x112 chunks (1,792 blocks), footprint 45x37; built by vault if it fits its ground and no higher-ranked set piece (rank < 13) claims it (+2 cordon)",0.007876,0.3077,"about 1 per 1,800 x 1,800 blocks",buried: ceiling 10 blocks under the lowest ground sample and 18 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"49,720 lattice cells in a 400k x 400k-block square outside r=3,072; 49,217 admitted",0.05%,
Wonderland,reg:14,Claude Code set piece,"register lattice: one candidate per 111x111 chunks (1,776 blocks), footprint 55x47; built by wonderland if it fits its ground and no higher-ranked set piece (rank < 14) claims it (+2 cordon)",0.003258,0.1273,"about 1 per 2,800 x 2,800 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","50,616 lattice cells in a 400k x 400k-block square outside r=3,072; 20,358 admitted",0.54%,
The Long Choir,reg:15,Claude Code set piece,"register lattice: one candidate per 110x110 chunks (1,760 blocks), footprint 43x35; built by choir if it fits its ground and no higher-ranked set piece (rank < 15) claims it (+2 cordon)",0.003842,0.1501,"about 1 per 2,600 x 2,600 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","51,746 lattice cells in a 400k x 400k-block square outside r=3,072; 24,005 admitted",0.47%,
The Store,reg:16,Claude Code set piece,"register lattice: one candidate per 108x108 chunks (1,728 blocks), footprint 45x45; built by store3008 if it fits its ground and no higher-ranked set piece (rank < 16) claims it (+2 cordon)",0.008427,0.3292,"about 1 per 1,700 x 1,700 blocks",buried: ceiling 10 blocks under the lowest ground sample and 14 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"53,352 lattice cells in a 400k x 400k-block square outside r=3,072; 52,656 admitted",0.05%,
The Interceptor,reg:17,Claude Code set piece,"register lattice: one candidate per 106x106 chunks (1,696 blocks), footprint 61x61; built by sewer if it fits its ground and no higher-ranked set piece (rank < 17) claims it (+2 cordon)",0,0.0000,never,buried: ceiling 10 blocks under the lowest ground sample and 16 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"55,684 lattice cells in a 400k x 400k-block square outside r=3,072; 54,298 admitted",,"DISABLED live (plugins/JasprHorrorBiomes/disabled-structures.txt); its 54,298 fitting sites (would be 0.008689% of chunks) still claim ground that other set pieces, rooms, catalogue and imported sites avoid"
The Lagoon,reg:18,Claude Code set piece,"register lattice: one candidate per 105x105 chunks (1,680 blocks), footprint 45x41; built by lagoon if it fits its ground and no higher-ranked set piece (rank < 18) claims it (+2 cordon)",0.003539,0.1382,"about 1 per 2,700 x 2,700 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","56,634 lattice cells in a 400k x 400k-block square outside r=3,072; 22,114 admitted",0.53%,
The Hallowed Reach,reg:19,Claude Code set piece,"register lattice: one candidate per 104x104 chunks (1,664 blocks), footprint 39x39; built by souls if it fits its ground and no higher-ranked set piece (rank < 19) claims it (+2 cordon)",0.004894,0.1912,"about 1 per 2,300 x 2,300 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","57,830 lattice cells in a 400k x 400k-block square outside r=3,072; 30,580 admitted",0.39%,
The Pit,reg:20,Claude Code set piece,"register lattice: one candidate per 97x97 chunks (1,552 blocks), footprint 37x37; built by pit if it fits its ground and no higher-ranked set piece (rank < 20) claims it (+2 cordon)",0.01038,0.4056,"about 1 per 1,600 x 1,600 blocks",buried: ceiling 10 blocks under the lowest ground sample and 20 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"66,551 lattice cells in a 400k x 400k-block square outside r=3,072; 64,891 admitted",0.06%,
The Kennels,reg:21,Claude Code set piece,"register lattice: one candidate per 91x91 chunks (1,456 blocks), footprint 35x27; built by kennels if it fits its ground and no higher-ranked set piece (rank < 21) claims it (+2 cordon)",0.01188,0.4639,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 14 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"75,612 lattice cells in a 400k x 400k-block square outside r=3,072; 74,215 admitted",0.05%,
The Warren,reg:22,Claude Code set piece,"register lattice: one candidate per 89x89 chunks (1,424 blocks), footprint 41x41; built by warren if it fits its ground and no higher-ranked set piece (rank < 22) claims it (+2 cordon)",0.01228,0.4797,"about 1 per 1,400 x 1,400 blocks",buried: ceiling 10 blocks under the lowest ground sample and 12 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"78,947 lattice cells in a 400k x 400k-block square outside r=3,072; 76,733 admitted",0.06%,
The Viewing Room,reg:23,Claude Code set piece,"register lattice: one candidate per 95x95 chunks (1,520 blocks), footprint 31x27; built by viewing if it fits its ground and no higher-ranked set piece (rank < 23) claims it (+2 cordon)",0.01079,0.4217,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 16 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"69,158 lattice cells in a 400k x 400k-block square outside r=3,072; 67,454 admitted",0.06%,
The Signal,reg:24,Claude Code set piece,"register lattice: one candidate per 69x69 chunks (1,104 blocks), footprint 25x21; built by signal if it fits its ground and no higher-ranked set piece (rank < 24) claims it (+2 cordon)",0.01398,0.5460,"about 1 per 1,400 x 1,400 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","131,380 lattice cells in a 400k x 400k-block square outside r=3,072; 87,348 admitted",0.20%,
The Ember Ziggurat,reg:25,Claude Code set piece,"register lattice: one candidate per 43x43 chunks (688 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 25) claims it (+2 cordon)",0.002923,0.1142,"about 1 per 3,000 x 3,000 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'ash' biomes: Cinder Hospice, Coalbreath Ridges, Brotherhood Slagfields, Hollow Crown Borough, Cinderlake Shelf, Ringfall Cinders, Cathedral of the Last Ember, VI - Heresy: Sepulcher of Embers","338,664 lattice cells in a 400k x 400k-block square outside r=3,072; 18,266 admitted",0.72%,
The Tidewell,reg:26,Claude Code set piece,"register lattice: one candidate per 55x55 chunks (880 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 26) claims it (+2 cordon)",0.001289,0.0503,"about 1 per 4,500 x 4,500 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'mist' biomes: Ashveil Coast, Signalwreck Coast, Blackreed Marsh, Brine Lantern Mire, Rootbound Sanctuary, Drowned Oath Fen, Endless Night Boulevard, I - Limbo: Mourning Fields","206,532 lattice cells in a 400k x 400k-block square outside r=3,072; 8,052 admitted",1.09%,
The Green Sanctum,reg:27,Claude Code set piece,"register lattice: one candidate per 53x53 chunks (848 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 27) claims it (+2 cordon)",0.001905,0.0744,"about 1 per 3,700 x 3,700 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'spores' biomes: Red Blossom Hollow, Bloomfall Tenements, Sanguine Exclusion Forest, Viridian Blastlands, Vaultroot Gardens, Leechwater Depths, Bloodroot Timberland","222,743 lattice cells in a 400k x 400k-block square outside r=3,072; 11,901 admitted",0.89%,
The Dust Reliquary,reg:28,Claude Code set piece,"register lattice: one candidate per 59x59 chunks (944 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 28) claims it (+2 cordon)",0.001275,0.0498,"about 1 per 4,500 x 4,500 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'dust' biomes: Bleached Expanse, Capitol Ossuary, Neon Dust Basin, Iron Convoy Barrens, Bastion of the Unburied, IV - Greed: The Burdened Quarry","179,319 lattice cells in a 400k x 400k-block square outside r=3,072; 7,969 admitted",1.10%,
The Oxide Sepulchre,reg:29,Claude Code set piece,"register lattice: one candidate per 67x67 chunks (1,072 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 29) claims it (+2 cordon)",0.001475,0.0576,"about 1 per 4,200 x 4,200 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'rust' biomes: Rustwater Ward, Gutterglass Schoolgrounds, Gilded Hush, Boomtown After Midnight, Grinning Hollow, VII - Violence: Thornblood Reach","139,104 lattice cells in a 400k x 400k-block square outside r=3,072; 9,220 admitted",1.01%,
The Frostvault,reg:30,Claude Code set piece,"register lattice: one candidate per 35x35 chunks (560 blocks), footprint 33x45; built by temple if it fits its ground and no higher-ranked set piece (rank < 30) claims it (+2 cordon)",0.001419,0.0554,"about 1 per 4,200 x 4,200 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136; only in 'snow' biomes: Whiteout Reservoir, Frostcrown Ramparts, IX - Treachery: Cocytus","509,702 lattice cells in a 400k x 400k-block square outside r=3,072; 8,865 admitted",1.05%,
The Hive,reg:31,Claude Code set piece,"register lattice: one candidate per 102x102 chunks (1,632 blocks), footprint 43x35; built by hive if it fits its ground and no higher-ranked set piece (rank < 31) claims it (+2 cordon)",0.009284,0.3626,"about 1 per 1,700 x 1,700 blocks",buried: ceiling 10 blocks under the lowest ground sample and 16 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"60,258 lattice cells in a 400k x 400k-block square outside r=3,072; 58,012 admitted",0.08%,
The Flatpack,reg:32,Claude Code set piece,"register lattice: one candidate per 100x100 chunks (1,600 blocks), footprint 41x37; built by flatpack if it fits its ground and no higher-ranked set piece (rank < 32) claims it (+2 cordon)",0.004319,0.1687,"about 1 per 2,400 x 2,400 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","62,487 lattice cells in a 400k x 400k-block square outside r=3,072; 26,987 admitted",0.46%,
The Super Mall,reg:33,Claude Code set piece,"register lattice: one candidate per 98x98 chunks (1,568 blocks), footprint 41x35; built by mall if it fits its ground and no higher-ranked set piece (rank < 33) claims it (+2 cordon)",0.004734,0.1849,"about 1 per 2,300 x 2,300 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","65,013 lattice cells in a 400k x 400k-block square outside r=3,072; 29,583 admitted",0.43%,
The Corroded Place,reg:34,Claude Code set piece,"register lattice: one candidate per 96x96 chunks (1,536 blocks), footprint 37x37; built by pocket if it fits its ground and no higher-ranked set piece (rank < 34) claims it (+2 cordon)",0.01034,0.4040,"about 1 per 1,600 x 1,600 blocks",buried: ceiling 10 blocks under the lowest ground sample and 14 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"67,848 lattice cells in a 400k x 400k-block square outside r=3,072; 64,629 admitted",0.09%,
Delta Labs,reg:35,Claude Code set piece,"register lattice: one candidate per 94x94 chunks (1,504 blocks), footprint 39x29; built by doomThree if it fits its ground and no higher-ranked set piece (rank < 35) claims it (+2 cordon)",0.01089,0.4252,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 11 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"70,742 lattice cells in a 400k x 400k-block square outside r=3,072; 68,019 admitted",0.08%,
Survival Town,reg:36,Claude Code set piece,"register lattice: one candidate per 73x73 chunks (1,168 blocks), footprint 45x37; built by survivalTown if it fits its ground and no higher-ranked set piece (rank < 36) claims it (+2 cordon)",0.006390,0.2496,"about 1 per 2,000 x 2,000 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","117,628 lattice cells in a 400k x 400k-block square outside r=3,072; 39,927 admitted",0.41%,
Bombfall,reg:37,Claude Code set piece,"register lattice: one candidate per 93x93 chunks (1,488 blocks), footprint 41x41; built by megaton if it fits its ground and no higher-ranked set piece (rank < 37) claims it (+2 cordon)",0.006068,0.2370,"about 1 per 2,100 x 2,100 blocks","surface: ground under the footprint within 9 blocks (4-block samples), all samples y64-136","72,349 lattice cells in a 400k x 400k-block square outside r=3,072; 37,915 admitted",0.35%,
AM,reg:38,Claude Code set piece,"register lattice: one candidate per 92x92 chunks (1,472 blocks), footprint 33x29; built by amCore if it fits its ground and no higher-ranked set piece (rank < 38) claims it (+2 cordon)",0.01139,0.4449,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 26 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"73,971 lattice cells in a 400k x 400k-block square outside r=3,072; 71,165 admitted",0.07%,
The Gate,reg:39,Claude Code set piece,"register lattice: one candidate per 90x90 chunks (1,440 blocks), footprint 35x33; built by doomTwo if it fits its ground and no higher-ranked set piece (rank < 39) claims it (+2 cordon)",0.01180,0.4609,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 16 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"77,270 lattice cells in a 400k x 400k-block square outside r=3,072; 73,723 admitted",0.08%,
Phobos Anomaly,reg:40,Claude Code set piece,"register lattice: one candidate per 88x88 chunks (1,408 blocks), footprint 37x31; built by doomOne if it fits its ground and no higher-ranked set piece (rank < 40) claims it (+2 cordon)",0.01220,0.4768,"about 1 per 1,400 x 1,400 blocks",buried: ceiling 10 blocks under the lowest ground sample and 12 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"80,924 lattice cells in a 400k x 400k-block square outside r=3,072; 76,266 admitted",0.09%,
The Spire,reg:41,Claude Code set piece,"register lattice: one candidate per 87x87 chunks (1,392 blocks), footprint 21x21; built by spire if it fits its ground and no higher-ranked set piece (rank < 41) claims it (+2 cordon)",0.008406,0.3284,"about 1 per 1,700 x 1,700 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","82,354 lattice cells in a 400k x 400k-block square outside r=3,072; 52,530 admitted",0.26%,
Flight 226,reg:42,Claude Code set piece,"register lattice: one candidate per 86x86 chunks (1,376 blocks), footprint 49x25; built by airliner if it fits its ground and no higher-ranked set piece (rank < 42) claims it (+2 cordon)",0.006202,0.2423,"about 1 per 2,000 x 2,000 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","84,664 lattice cells in a 400k x 400k-block square outside r=3,072; 38,754 admitted",0.37%,
The Grand Meridian,reg:43,Claude Code set piece,"register lattice: one candidate per 85x85 chunks (1,360 blocks), footprint 33x25; built by hotel if it fits its ground and no higher-ranked set piece (rank < 43) claims it (+2 cordon)",0.006851,0.2676,"about 1 per 1,900 x 1,900 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","86,420 lattice cells in a 400k x 400k-block square outside r=3,072; 42,810 admitted",0.34%,
The Impossible Stair,reg:44,Claude Code set piece,"register lattice: one candidate per 84x84 chunks (1,344 blocks), footprint 21x21; built by stair if it fits its ground and no higher-ranked set piece (rank < 44) claims it (+2 cordon)",0.01049,0.4098,"about 1 per 1,600 x 1,600 blocks","surface: ground under the footprint within 10 blocks (4-block samples), all samples y64-136","88,489 lattice cells in a 400k x 400k-block square outside r=3,072; 65,556 admitted",0.20%,
The Lodge,reg:45,Claude Code set piece,"register lattice: one candidate per 83x83 chunks (1,328 blocks), footprint 29x25; built by lodge if it fits its ground and no higher-ranked set piece (rank < 45) claims it (+2 cordon)",0.007669,0.2996,"about 1 per 1,800 x 1,800 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","90,886 lattice cells in a 400k x 400k-block square outside r=3,072; 47,920 admitted",0.31%,
The Outpost,reg:46,Claude Code set piece,"register lattice: one candidate per 81x81 chunks (1,296 blocks), footprint 29x25; built by outpost if it fits its ground and no higher-ranked set piece (rank < 46) claims it (+2 cordon)",0.008045,0.3143,"about 1 per 1,800 x 1,800 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","95,154 lattice cells in a 400k x 400k-block square outside r=3,072; 50,273 admitted",0.31%,
Spencer Manor,reg:47,Claude Code set piece,"register lattice: one candidate per 80x80 chunks (1,280 blocks), footprint 21x17; built by manor if it fits its ground and no higher-ranked set piece (rank < 47) claims it (+2 cordon)",0.01023,0.3995,"about 1 per 1,600 x 1,600 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","97,638 lattice cells in a 400k x 400k-block square outside r=3,072; 63,904 admitted",0.23%,
The Bell,reg:48,Claude Code set piece,"register lattice: one candidate per 79x79 chunks (1,264 blocks), footprint 25x21; built by bell if it fits its ground and no higher-ranked set piece (rank < 48) claims it (+2 cordon)",0.009518,0.3718,"about 1 per 1,600 x 1,600 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","99,838 lattice cells in a 400k x 400k-block square outside r=3,072; 59,479 admitted",0.26%,
The Neon Arcology,reg:49,Claude Code set piece,"register lattice: one candidate per 78x78 chunks (1,248 blocks), footprint 15x15; built by arcology if it fits its ground and no higher-ranked set piece (rank < 49) claims it (+2 cordon)",0.01259,0.4916,"about 1 per 1,400 x 1,400 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","103,021 lattice cells in a 400k x 400k-block square outside r=3,072; 78,649 admitted",0.17%,
The Golden Arches,reg:50,Claude Code set piece,"register lattice: one candidate per 77x77 chunks (1,232 blocks), footprint 27x23; built by arches if it fits its ground and no higher-ranked set piece (rank < 50) claims it (+2 cordon)",0.01000,0.3907,"about 1 per 1,600 x 1,600 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","105,281 lattice cells in a 400k x 400k-block square outside r=3,072; 62,508 admitted",0.25%,
Raccoon Precinct,reg:51,Claude Code set piece,"register lattice: one candidate per 76x76 chunks (1,216 blocks), footprint 21x17; built by precinct if it fits its ground and no higher-ranked set piece (rank < 51) claims it (+2 cordon)",0.01139,0.4450,"about 1 per 1,500 x 1,500 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","108,220 lattice cells in a 400k x 400k-block square outside r=3,072; 71,194 admitted",0.22%,
The Sundowner,reg:52,Claude Code set piece,"register lattice: one candidate per 75x75 chunks (1,200 blocks), footprint 31x19; built by motel if it fits its ground and no higher-ranked set piece (rank < 52) claims it (+2 cordon)",0.008760,0.3422,"about 1 per 1,700 x 1,700 blocks","surface: ground under the footprint within 5 blocks (4-block samples), all samples y64-136","110,869 lattice cells in a 400k x 400k-block square outside r=3,072; 54,739 admitted",0.30%,
The Walking House,reg:53,Claude Code set piece,"register lattice: one candidate per 74x74 chunks (1,184 blocks), footprint 17x15; built by house if it fits its ground and no higher-ranked set piece (rank < 53) claims it (+2 cordon)",0.01343,0.5246,"about 1 per 1,400 x 1,400 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","114,222 lattice cells in a 400k x 400k-block square outside r=3,072; 83,919 admitted",0.18%,
The Village,reg:54,Claude Code set piece,"register lattice: one candidate per 72x72 chunks (1,152 blocks), footprint 23x19; built by village if it fits its ground and no higher-ranked set piece (rank < 54) claims it (+2 cordon)",0.01412,0.5514,"about 1 per 1,300 x 1,300 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","120,387 lattice cells in a 400k x 400k-block square outside r=3,072; 88,211 admitted",0.17%,
The Stairwell,reg:55,Claude Code set piece,"register lattice: one candidate per 71x71 chunks (1,136 blocks), footprint 15x15; built by stairwell if it fits its ground and no higher-ranked set piece (rank < 55) claims it (+2 cordon)",0.01144,0.4469,"about 1 per 1,500 x 1,500 blocks",buried: ceiling 10 blocks under the lowest ground sample and 56 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"123,881 lattice cells in a 400k x 400k-block square outside r=3,072; 71,485 admitted",0.24%,
The Brass Foundry,reg:56,Claude Code set piece,"register lattice: one candidate per 70x70 chunks (1,120 blocks), footprint 19x15; built by foundry if it fits its ground and no higher-ranked set piece (rank < 56) claims it (+2 cordon)",0.01467,0.5732,"about 1 per 1,300 x 1,300 blocks","surface: ground under the footprint within 6 blocks (4-block samples), all samples y64-136","127,780 lattice cells in a 400k x 400k-block square outside r=3,072; 91,693 admitted",0.18%,
Raccoon Street,reg:57,Claude Code set piece,"register lattice: one candidate per 68x68 chunks (1,088 blocks), footprint 25x13; built by street if it fits its ground and no higher-ranked set piece (rank < 57) claims it (+2 cordon)",0.01294,0.5054,"about 1 per 1,400 x 1,400 blocks","surface: ground under the footprint within 5 blocks (4-block samples), all samples y64-136","135,032 lattice cells in a 400k x 400k-block square outside r=3,072; 80,849 admitted",0.22%,
The Lost Tower,reg:58,Claude Code set piece,"register lattice: one candidate per 66x66 chunks (1,056 blocks), footprint 15x15; built by tower if it fits its ground and no higher-ranked set piece (rank < 58) claims it (+2 cordon)",0.01743,0.6809,"about 1 per 1,200 x 1,200 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","143,615 lattice cells in a 400k x 400k-block square outside r=3,072; 108,930 admitted",0.15%,
The Lost Blocks,reg:59,Claude Code set piece,"register lattice: one candidate per 64x64 chunks (1,024 blocks), footprint 25x15; built by blocks if it fits its ground and no higher-ranked set piece (rank < 59) claims it (+2 cordon)",0.01705,0.6658,"about 1 per 1,200 x 1,200 blocks","surface: ground under the footprint within 7 blocks (4-block samples), all samples y64-136","152,464 lattice cells in a 400k x 400k-block square outside r=3,072; 106,514 admitted",0.17%,
The Room,reg:60,Claude Code set piece,"register lattice: one candidate per 62x62 chunks (992 blocks), footprint 13x11; built by theRoom if it fits its ground and no higher-ranked set piece (rank < 60) claims it (+2 cordon)",0.01951,0.7620,"about 1 per 1,100 x 1,100 blocks","surface: ground under the footprint within 5 blocks (4-block samples), all samples y64-136","162,380 lattice cells in a 400k x 400k-block square outside r=3,072; 121,898 admitted",0.14%,
The Lost Metro,reg:61,Claude Code set piece,"register lattice: one candidate per 58x58 chunks (928 blocks), footprint 23x13; built by metro if it fits its ground and no higher-ranked set piece (rank < 61) claims it (+2 cordon)",0.02259,0.8825,"about 1 per 1,100 x 1,100 blocks","surface: ground under the footprint within 9 blocks (4-block samples), all samples y64-136","185,729 lattice cells in a 400k x 400k-block square outside r=3,072; 141,171 admitted",0.13%,
